Type,Identification,Field,Locale,Market,Status,Default content,Translated content
PRODUCT,'11053007503527,handle,ti,,,rolling-kitchen-island-with-storage-kitchen-cart-with-rubber-wood-top-cabinet-towel-rack,
PRODUCT,'11053007503527,product_type,ti,,,Home Furnishings,ናይ ገዛ ማሕደሪ ኣቕሑ
PRODUCT,'11053007536295,title,ti,,,"72"" Kitchen Pantry Cabinet, Modern Kitchen Pantry Storage Cabinet with 4 Doors and 3 Adjustable Shelves, White","72"" ክብሪት ክፍሊ መደርደሪ ካቢኔት፣ ዘመናዊ ክብሪት ክፍሊ መደርደሪ ካቢኔት ምስ 4 ኣፍደገታትን 3 ተስተካከሊ መደርደሪታትን፣ ጻዕዳ"
PRODUCT,'11053007536295,body_html,ti,,,"<p>Do you love to be in the kitchen but are running out of space? This [BRAND NAME] kitchen pantry storage cabinet can help bring your kitchen from cluttered to organized in no time. No more stacking pots and pans on top of each other and now you have to move them all to get to that soup pot in the back, this storage cabinet with doors will give you the space to know where everything is at, and get to it easily. Spend more time cooking and entertaining with this [BRAND NAME] kitchen cabinet.</p><h3>Features:</h3><ul style=""list-style:none;margin-left:15px;"">
<li>• Recessed door panels and elegant aluminum handles bring modern chic to your home</li>
<li>• Ample storage space includes 2 door cabinets and a wide drawer</li>
<li>• 3 adjustable shelves provide flexible storage space for plates, jars, utensils and other household items</li>
<li>• Can be used as a kitchen pantry, dining room sideboard and living room storage cabinet</li>
<li>• Selected engineered wood materials with blister crafts make it stable and easy to maintain</li>
<li>• Anti-toppling device make sure of stability and durability</li>
<li>• Elevated base to keep an item dry</li>
<li>• Assembly required</li>
</ul><h3>Specification:</h3><ul style=""list-style:none;margin-left:15px;"">
<li>• Colour: White</li>
<li>• Material: MDF, Particle Board, Metal</li>
<li>• Overall Dimension: 30"" W x 15.7"" D x 72.4"" H (76.2 x 40 x 184 cm)</li>
<li>• Each Cabinet Size (Inner): 28"" W x 14.4"" D x 30.3"" H (71.2 x 36.5 x 77 cm)</li>
<li>• Adjustable Shelf Size: 28"" W x 14.2"" H (71 x 36 cm)</li>
<li>• Central Drawer Size (Inner): 25.8"" W x 11"" D x 4.7"" H (65.5 x 28 x 12 cm)</li>
<li>• Plastic Feet Height: 2"" (5 cm)</li>
<li>• Weight Capacity: 110lbs/50 kg (Overall),33lbs/15 kg (Drawer), 11lbs/5 kg (Shelf)</li>
<li>• Item Label:835-419WT</li>
</ul><h3>Package Includes:</h3><ul style=""list-style:none;margin-left:15px;"">
<li>1 x Kitchen Pantry</li>
<li>1 x Manual</li>
</ul>","<p>ኣብ ክሽን ምስላጥ ትፈቱ እንተኾይንኩም ግን ቦታ ዘይብኩም እንተኾይንኩም፧ እዚ [ስም ብራንድ] ናይ ክሽን መደርደሪ ካቢኔት ንክሽንካ ካብ ተሓባበሪ ናብ ተዳለወ ብዘይ ጊዜ ክለውጦ ይኽእል እዩ። ድስቲን መቘምበሪን ኣብ ልዕሊ ሓደ ምድራብ ኣይኮነን፡ ሕጂ ነቲ ኣብ ድሕሪት ዘሎ ሾርባ ድስቲ ንምብጻሕ ንዅሉ ከተንቀሳቕሶ ኣለካ፡ እዚ በሪ ዘለዎ መደርደሪ ካቢኔት ንዅሉ ኣበይ ከም ዘሎ ክትፈልጥን ብቐሊሉ ክትበጽሖን ዝኽእል ቦታ ክህበካ እዩ። ምስዚ [ስም ብራንድ] ናይ ክሽን ካቢኔት ንምብሳልን ንምዝንጋዕን ዝያዳ ጊዜ ኣሕልፉ።</p><h3>ባህርያት፦</h3><ul style=""list-style:none;margin-left:15px;"">
<li>• እቶም ዝረሓቑ በሪ ፓነላትን ምሉእ ኣሉሚንየም መዓርጎታትን ናብ ገዝካ ዘመናዊ ቆንጆ የምጽኡ</li>
<li>• ሰፊሕ መደርደሪ ቦታ ክልተ በሪ ካቢኔታትን ሰፊሕ መሳልብን የጠቓልል</li>
<li>• 3 ዝተስተካከሉ መደርደሪታት ንሳሕኒ፡ ማሕተም፡ መቘምበሪን ካልእ ናይ ገዛ ዕቃታትን ተለዋዋጭ መደርደሪ ቦታ ይህባ</li>
<li>• ከም ናይ ክሽን መደርደሪ፡ ናይ መብልዕ ክፍሊ ሳይድቦርድን ናይ መነብዪ ክፍሊ መደርደሪ ካቢኔትን ክትጥቀሙሉ ትኽእሉ</li>
<li>• ብሊስተር ጥበባት ዝተሰርሑ ምሩጽ ኢንጂነሪድ ዕጨይሲ ቁሶታት ደላይን ክንክን ቀሊልን ይገብርዎ</li>
<li>• ፀረ-ምውድቓዝ መሳርሒ ደላይነትን ጸንዒን የረጋግጽ</li>
<li>• ንዕቃ ደረቕ ንምግባር ዝልዐለ መሰረት</li>
<li>• ምትካል የድሊ</li>
</ul><h3>ዝርዝር መግለጺ፦</h3><ul style=""list-style:none;margin-left:15px;"">
<li>• ሕብሪ፡ ጻዕዳ</li>
<li>• ቁስ፡ MDF፡ ፓርቲክል ቦርድ፡ ብረት</li>
<li>• ልኡኽ መጠን፡ 30"" ወርዲ x"
PRODUCT,'11053007536295,handle,ti,,,kitchen-pantry-cabinet-modern-kitchen-pantry-storage-cabinet-with-and-adjustable,strong-ናይ-ክሽን-መደብ-ካቢኔት-ዘመናዊ-ናይ-ክሽን-መደብ-መዋቕር-ካቢኔት-ምስ-ተቐያያሪ-መደረቢታት-strong
PRODUCT,'11053007536295,product_type,ti,,,Home Furnishings,ናይ ገዛ ማሕደሪ ኣቕሑ
PRODUCT,'11053007569063,title,ti,,,"Large Storage Box Storage Trunk Cabinet Container with Lid and 2 Safety Hinges, White",<HTML>ዓቢ መዕቀሲ ሳጹን መዕቀሲ ካቢኔት ኮንቴይነር ምስ መኽደኒ ክዳን 2 ናይ ውሕስነት ሂንጅ፣ ጻዕዳ</HTML>
PRODUCT,'11053007569063,body_html,ti,,,"<p>Deep and wide, this spacious storage trunk from [BRAND NAME] is the optimum piece for keeping your home tidy where needed. Made of MDF, it's stable and easy to maintain and it features safety hinges so fingers don't get caught when opening and closing the lid. There are two handles so it can be carried with ease. With its simple shape and clean colour, this versatile piece will welcome itself in all bedrooms, hallways and playrooms galore.</p><h3>Features:</h3><ul style=""list-style:none;margin-left:15px;"">
<li>• Neutral colour is fresh and versatile, sits easily in all types of room styles</li>
<li>• MDF structure is tough and robust</li>
<li>• Large capacity is great for storing books, blankets and throws etc.</li>
<li>• Safety hinges protect fingers from getting caught when lifting and closing the lid</li>
<li>• Two groove handles to carry easily</li>
<li>• Assembly required</li>
</ul><h3> Specification:</h3><ul style=""list-style:none;margin-left:15px;"">
<li>• Colour: White</li>
<li>• Material: MDF</li>
<li>• Overall Dimension: 31.9"" W x 15.7"" D x 18.1"" H (81 x 40 x 46 cm)</li>
<li>• Storage Dimension: 29.5"" W x 13.8"" D x 15.4"" H (75 x 35 x 39 cm)</li>
<li>• Weight Capacity: 44 lbs/20 kg</li>
<li>• Item Label: 833-625</li>
</ul><h3>Package Includes:</h3><ul style=""list-style:none;margin-left:15px;"">
<li>• 1 x Storage Chest</li>
<li>• 1 x Manual</li>
</ul>","<p>ዓሚቕን ሰፊሕን፣ እዚ ሰፊሕ መዕቀሲ ሳንዱቕ ካብ [BRAND NAME] ንጽሩይ መደብካ ንምሕላው ዝምረጽ ቁራጽ እዩ። ካብ MDF ተሰሪሑ፣ ተረጋጊሕን ንምጽራይ ቀሊልን እዩ፣ ክዳኑ ኣብ ዝኽሣትን ምዕራትን እዋን ኣጻብዕ ከይተሓዘዙ ዝከላኸል ናይ ድሕነት ማዕጾታት ኣለዎ። ብቐሊሉ ንምጽዋር ክልተ መያዝን ኣለዎ። ብቐሊል ቅርጹን ጽሩይ ሕብሩን፣ እዚ ልዑል ጥቕሚ ዘለዎ ቁራጽ ኣብ ኩሉ ክፍሊ ድቃስ፣ መግቢ ቤትን መጻወቲ ክፍልታትን ብቐሊሉ ይቕበል።</p><h3>ባህርያት:</h3><ul style=""list-style:none;margin-left:15px;"">
<li>• ገለልተኛ ሕብሪ ሓድሽን ልዑል ጥቕሚ ዘለዎን እዩ፣ ኣብ ኩሉ ዓይነት ክፍሊ ቅዲ ብቐሊሉ ይሰማማዕ</li>
<li>• ናይ MDF መዋቕር በሪቁን ጽኑዕን እዩ</li>
<li>• ዓቢ ኣቅም ንመዕቀሲ መጻሕፍቲ፣ ኮቦርታታትን ካልእ ነገራትን ዝምረጽ እዩ</li>
<li>• ናይ ድሕነት ማዕጾታት ክዳኑ ኣብ ዝልዐልን ዝዕጸውን እዋን ኣጻብዕ ከይተሓዘዙ ይከላኸሉ</li>
<li>• ብቐሊሉ ንምጽዋር ክልተ ጉድጓድ መያዝን</li>
<li>• ምትካል የድሊ</li>
</ul><h3> ዝርዝር መግለጺ:</h3><ul style=""list-style:none;margin-left:15px;"">
<li>• ሕብሪ: ጻዕዳ</li>
<li>• ቁሳቁስ: MDF</li>
<li>• ልኡኽ መጠን: 31.9"" ወርዲ x 15.7"" ዕምቆት x 18.1"" ቁመት (81 x 40 x 46 ሳ.ሜ)</li>
<li>• ናይ መዕቀሲ መጠን: 29.5"" ወርዲ x 13.8"" ዕምቆት x 15.4"" ቁመት (75 x 35 x 39 ሳ.ሜ)</li>
<li>• ናይ ምጽዋር ኣቅም: 44 ፓውንድ/20 ኪሎ ግራም</li>
<li>• ናይ ዕቃ መለለይ: 833-625</li>
</ul><h3>ጥቅል ዘጠቓልል:</h3><ul style=""list-style:none;margin-left:15px;"">
<li>• 1 x መዕቀሲ ሳንዱቕ</li>
<li>• 1 x መምርሒ</li>
</ul>"
PRODUCT,'11053007569063,handle,ti,,,storage-box-storage-trunk-cabinet-container-with-lid-and-safety-hinges,
PRODUCT,'11053007569063,product_type,ti,,,Home Furnishings,ናይ ገዛ ማሕደሪ ኣቕሑ
PRODUCT,'11053007601831,title,ti,,,"Modern 3 Seater Sofa, Corduroy Fabric 3 Seater Couch with Pine Wood Legs and Rolled Armrests for Living Room, Beige",<strong>ዘመናዊ ባለ 3 መቀመጫ ሶፋ፣ ባለ ኮርዱሮይ ጨርቂ ባለ 3 መቀመጫ ሶፋ ምስ ፓይን ዕጨይዲ እግርታትን ጠማቕ ክንዲ ሓደ ዝበሃል ምስተኻእለሉ ኣርምረስትን ንሳሎን፣ ቢጂ</strong>
